,Year,Type,County,Ag District,Ag District Code,ACRES HARVESTED,ACRES PLANTED,"ACRES PLANTED, NET","PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE","YIELD, MEASURED IN BU / NET PLANTED ACRE"
312,2002,"WHEAT, SPRING, (EXCL DURUM)",GRIGGS,EAST CENTRAL,60,78000.0,83000.0,,2165000.0,27.8,
313,2002,"WHEAT, SPRING, (EXCL DURUM)",HETTINGER,SOUTHWEST,70,176000.0,215000.0,,3060000.0,17.4,
314,2002,"WHEAT, SPRING, (EXCL DURUM)",KIDDER,CENTRAL,50,31000.0,53000.0,,525000.0,16.9,
315,2002,"WHEAT, SPRING, (EXCL DURUM)",LA MOURE,SOUTHEAST,90,128000.0,145000.0,,3080000.0,24.1,
316,2002,"WHEAT, SPRING, (EXCL DURUM)",LOGAN,SOUTHEAST,90,39000.0,72000.0,,495000.0,12.7,
317,2002,"WHEAT, SPRING, (EXCL DURUM)",MCHENRY,NORTH CENTRAL,20,129000.0,145000.0,,3110000.0,24.1,
318,2002,"WHEAT, SPRING, (EXCL DURUM)",MCINTOSH,SOUTHEAST,90,49000.0,75000.0,,685000.0,14.0,
319,2002,"WHEAT, SPRING, (EXCL DURUM)",MCKENZIE,WEST CENTRAL,40,71000.0,79000.0,,2040000.0,28.7,
320,2002,"WHEAT, SPRING, (EXCL DURUM)",MCLEAN,WEST CENTRAL,40,205000.0,220000.0,,5495000.0,26.8,
321,2002,"WHEAT, SPRING, (EXCL DURUM)",MERCER,WEST CENTRAL,40,61000.0,67000.0,,1465000.0,24.0,
322,2002,"WHEAT, SPRING, (EXCL DURUM)",MORTON,SOUTH CENTRAL,80,120000.0,170000.0,,1920000.0,16.0,
323,2002,"WHEAT, SPRING, (EXCL DURUM)",MOUNTRAIL,NORTHWEST,10,61000.0,65000.0,,1565000.0,25.7,
324,2002,"WHEAT, SPRING, (EXCL DURUM)",NELSON,NORTHEAST,30,111000.0,120000.0,,3450000.0,31.1,
325,2002,"WHEAT, SPRING, (EXCL DURUM)",OLIVER,WEST CENTRAL,40,50000.0,57000.0,,1095000.0,21.9,
326,2002,"WHEAT, SPRING, (EXCL DURUM)",PEMBINA,NORTHEAST,30,218000.0,250000.0,,8360000.0,38.3,
327,2002,"WHEAT, SPRING, (EXCL DURUM)",PIERCE,NORTH CENTRAL,20,104000.0,115000.0,,2660000.0,25.6,
328,2002,"WHEAT, SPRING, (EXCL DURUM)",RAMSEY,NORTHEAST,30,119000.0,135000.0,,3430000.0,28.8,
329,2002,"WHEAT, SPRING, (EXCL DURUM)",RANSOM,SOUTHEAST,90,80000.0,87000.0,,2710000.0,33.9,
330,2002,"WHEAT, SPRING, (EXCL DURUM)",RENVILLE,NORTHWEST,10,106000.0,125000.0,,2890000.0,27.3,
331,2002,"WHEAT, SPRING, (EXCL DURUM)",RICHLAND,SOUTHEAST,90,144000.0,155000.0,,5460000.0,37.9,
332,2002,"WHEAT, SPRING, (EXCL DURUM)",ROLETTE,NORTH CENTRAL,20,61000.0,65000.0,,1805000.0,29.6,
333,2002,"WHEAT, SPRING, (EXCL DURUM)",SARGENT,SOUTHEAST,90,83000.0,91000.0,,2960000.0,35.7,
334,2002,"WHEAT, SPRING, (EXCL DURUM)",SHERIDAN,CENTRAL,50,86000.0,97000.0,,2030000.0,23.6,
