Year,Max Temp,Min Temp,Avg Temp,Avg Bare Soil Temp,Avg Turf Soil Temp,Avg Wind Speed,Max Wind Speed,Total Solar Rad,Total Penman PET,Avg Penman PET,Total Rainfall,Avg Dew Point,Avg Wind Chill,Period
1993,34.196,11.853,23.0250,22.621,23.362,13.100,24.208,176.706,0.274,0.039,,19.131,10.619,WEEK #04
1993,28.863,13.589,21.2260,25.939,26.667,7.008,13.987,173.483,0.134,0.019,,19.082,12.830,WEEK #05
1993,13.267,-5.037,4.1150,21.937,23.702,7.904,14.704,206.690,0.124,0.018,,0.784,-8.367,WEEK #06
1993,6.889,-3.605,1.6420,14.855,18.125,8.940,15.984,254.204,0.127,0.018,,-6.769,-16.876,WEEK #07
1993,19.571,11.737,15.6540,18.965,19.562,8.180,4.399,322.060,0.317,0.045,,-0.626,-4.510,WEEK #08
1993,38.006,22.146,30.0770,28.434,27.707,7.024,14.880,337.250,0.421,0.060,,25.242,23.527,WEEK #09
1993,24.299,5.975,15.1370,29.101,29.933,9.164,20.975,383.113,0.406,0.058,,4.047,-0.441,WEEK #10
1993,27.093,9.128,18.1110,26.642,27.041,12.136,23.688,377.122,0.459,0.066,,8.917,2.966,WEEK #11
1993,43.636,31.473,37.5550,31.233,30.049,9.927,19.439,251.043,0.459,0.066,,33.075,28.949,WEEK #12
1993,42.156,26.643,34.4000,34.026,31.847,9.987,22.255,407.114,0.845,0.121,0.000,24.081,26.411,WEEK #13
1993,44.609,30.405,37.5070,37.666,32.970,5.494,15.751,259.343,0.490,0.070,0.480,31.065,33.282,WEEK #14
1993,55.711,29.747,42.7300,44.046,41.737,8.066,22.563,473.875,1.284,0.183,0.000,27.743,38.583,WEEK #15
1993,58.329,29.273,43.8010,47.307,45.000,9.035,23.535,514.201,1.565,0.224,0.290,25.563,40.390,WEEK #16
1993,58.550,34.370,46.4600,49.431,46.696,8.221,22.255,442.219,1.416,0.202,0.140,31.103,43.405,WEEK #17
1993,72.438,47.791,60.1150,58.176,55.322,10.015,25.225,432.979,1.635,0.234,2.450,44.582,59.050,WEEK #18
1993,70.564,40.354,55.4590,63.249,58.079,9.033,26.300,658.615,2.383,0.340,0.000,32.930,55.682,WEEK #19
1993,64.269,39.431,51.8500,57.109,53.949,9.736,23.895,420.162,1.635,0.234,0.470,35.442,50.392,WEEK #20
1993,60.697,41.332,51.0150,54.964,53.902,9.464,23.894,469.689,1.418,0.203,0.900,38.853,47.934,WEEK #21
1993,65.951,43.386,54.6680,61.236,58.174,8.578,23.791,505.607,1.514,0.216,1.410,40.293,54.890,WEEK #22
1993,73.067,53.846,63.4560,65.924,64.955,12.382,29.584,525.452,1.818,0.260,1.210,53.976,62.683,WEEK #23
1993,72.253,50.455,61.3540,66.529,72.745,6.483,17.747,559.027,1.464,0.209,0.430,52.851,61.356,WEEK #24
1993,65.904,48.645,57.2750,63.965,63.082,11.072,27.683,497.981,1.313,0.188,2.120,50.567,56.860,WEEK #25
1993,69.898,54.274,62.0860,64.539,63.623,10.499,26.196,404.025,1.011,0.144,2.230,57.335,61.624,WEEK #26
1993,67.936,49.240,58.5880,64.148,63.665,5.389,20.565,443.642,1.002,0.143,0.700,53.106,58.095,WEEK #27
1993,69.697,51.840,60.7690,64.193,63.935,5.913,20.873,402.786,0.905,0.129,3.050,56.759,60.572,WEEK #28
1993,72.127,57.367,64.7470,66.886,66.179,6.445,17.799,329.006,0.774,0.111,3.950,61.094,64.302,WEEK #29
1993,75.434,57.053,66.2440,72.289,69.583,7.709,22.818,528.455,1.445,0.206,0.770,58.893,66.053,WEEK #30
1993,74.915,52.161,63.5380,70.028,66.654,5.603,18.265,513.227,1.288,0.184,0.260,56.490,63.471,WEEK #31
1993,78.887,55.331,67.1090,72.483,68.577,6.281,19.861,462.601,1.280,0.183,0.640,60.053,66.899,WEEK #32
1993,79.960,56.058,68.0090,71.971,67.150,7.359,21.078,402.857,1.293,0.185,0.190,59.772,66.862,WEEK #33
1993,72.919,53.201,63.0600,66.988,64.371,6.316,21.640,359.741,1.008,0.144,1.680,54.767,61.875,WEEK #34
1993,67.519,43.438,55.4790,61.440,59.871,6.116,21.795,365.347,1.041,0.149,0.030,47.253,55.796,WEEK #35
1993,67.707,42.413,55.0600,62.404,58.467,8.880,24.099,388.921,1.244,0.178,0.000,45.406,53.948,WEEK #36
1993,61.728,36.149,48.9390,56.318,53.739,5.485,19.950,370.864,0.881,0.126,0.000,39.138,47.972,WEEK #37
1993,63.009,37.776,50.3930,54.474,52.402,8.962,28.809,311.022,1.085,0.155,0.050,38.445,47.918,WEEK #38
1993,60.402,30.762,45.5830,51.735,49.531,9.734,28.810,362.796,1.306,0.187,0.000,30.880,43.693,WEEK #39
1993,56.066,27.130,41.5980,47.302,46.421,9.057,25.533,299.342,0.955,0.136,0.010,29.570,36.912,WEEK #40
1993,55.567,28.301,41.9340,46.713,45.409,3.950,15.749,247.482,0.506,0.072,0.010,32.500,39.934,WEEK #41
1993,59.630,30.161,44.8960,45.089,44.044,8.767,25.584,221.586,0.882,0.126,0.070,30.315,41.715,WEEK #42
1993,44.144,19.380,31.7620,36.897,38.497,12.424,29.731,165.223,0.745,0.106,0.000,19.513,24.215,WEEK #43
1993,34.107,18.174,26.1410,33.219,35.922,9.394,23.926,144.614,0.283,0.040,,20.613,16.488,WEEK #44
1993,36.975,18.650,27.8130,30.734,33.071,8.405,19.117,142.867,0.252,0.036,,22.841,19.563,WEEK #45
1993,39.172,16.888,28.0300,31.253,32.694,11.188,27.471,127.542,0.572,0.082,,17.288,17.136,WEEK #46
